ID	1st	dist	2nd	dist	3rd	dist	4th	dist	5th	dist	6th	dist
"1369"	"31146"	3.67165296	"9364"	4.23106454	"17951"	4.25820840	"25668"	4.44413189	"29286"	5.02535594	"14864"	5.31047296	
"10672"	"29052"	1.17081252	"8009"	3.18407208	"17193"	3.22175601	"1484"	3.47181264	"25668"	4.36414139	"22055"	4.41295172	
"31062"	"14757"	10.1430510	"29052"	4.18373288	"8009"	5.17047332	"10672"	5.25250458	"17193"	5.33687101	"13316"	6.13393051	
"28947"	"29286"	1.48528423	"9364"	2.32099041	"14864"	2.40484730	"25668"	2.61262521	"31146"	2.76661950	"17951"	3.08971508	
"22544"	"3350"	2.23883579	"28947"	3.61089112	"29286"	4.74355721	"9364"	5.28990070	"25668"	5.33972822	"14864"	5.36930912	
"20842"	"31146"	2.72431740	"1484"	2.73465502	"9364"	3.36536164	"25668"	3.40836481	"17951"	3.41990276	"30619"	3.59506811	
"32352"	"20842"	3.16952661	"14864"	3.52181879	"1484"	3.81170375	"22055"	3.86243187	"28947"	4.27025010	"29286"	4.35037344	
"21335"	"10672"	2.38520134	"29052"	2.38555526	"8009"	2.39881482	"17193"	2.49129327	"1484"	2.52217182	"25668"	3.16261351	
"23053"	"29286"	1.27788929	"31146"	1.87493814	"28947"	2.26218946	"17951"	2.32450728	"9364"	2.43434972	"14864"	2.51375814	
"17702"	"9364"	2.16035347	"14864"	2.24421036	"25668"	2.26020744	"31146"	2.33200995	"28947"	2.43460954	"23053"	2.59470320	
"19330"	"25668"	1.17746817	"9364"	1.18981865	"14864"	1.26922706	"31146"	1.49342076	"17702"	2.21318582	"28947"	2.51080906	
"9408"	"20842"	1.72618342	"21335"	2.88384280	"1484"	2.95837882	"9364"	3.58908544	"25668"	3.72122929	"19330"	3.74186213	
"4786"	"31062"	5.05387013	"13316"	5.08006038	"1484"	5.19098640	"29052"	5.21205453	"22055"	5.21431727	"30619"	5.29797484	
"31329"	"9364"	0.26779742	"19330"	1.07885655	"25668"	1.20065242	"31146"	1.51660502	"17702"	2.23637008	"14864"	2.34720584	
"29352"	"17951"	1.70493594	"31146"	2.25536680	"23053"	2.40611905	"9364"	2.81477838	"31329"	2.95944374	"19330"	2.98350578	
"22468"	"20842"	3.22226788	"3350"	3.26658118	"23053"	3.37913821	"32352"	3.38094927	"30619"	3.49524920	"22055"	3.52229893	
"25875"	"29286"	2.09107983	"28947"	2.60579560	"23053"	2.86798506	"29352"	3.24841371	"31146"	3.26701952	"14864"	3.35422691	
"801"	"20842"	2.25960313	"1484"	2.47505188	"9408"	2.54821294	"25668"	3.32286259	"32352"	3.33665186	"9364"	4.10575850	
"15541"	"1484"	2.38449038	"801"	3.28234231	"28750"	4.18330117	"20842"	4.35016463	"32352"	4.42721336	"29352"	4.49345892	
"24669"	"18639"	4.22219156	"17702"	4.25535275	"22544"	4.32959351	"30619"	5.13521914	"3350"	5.19548969	"801"	5.30228665	
"7039"	"8009"	3.12496085	"29052"	4.13822041	"13316"	4.14321256	"10672"	4.17959486	"22055"	4.23335686	"30619"	4.39920622	
"10349"	"1484"	2.10877956	"30619"	2.41984963	"29052"	3.19222056	"31329"	3.23448960	"17193"	3.24331788	"9364"	3.27233493	
"7533"	"28947"	1.28828426	"25875"	2.31751133	"22544"	2.43342196	"29286"	2.77356850	"14864"	3.12533733	"9364"	3.14352126	
"4644"	"18639"	3.54452374	"30619"	4.35551050	"7039"	4.70122996	"24669"	5.40984562	"22468"	5.44110856	"9364"	5.44953843	
"13482"	"8009"	3.19761093	"29052"	3.21087049	"17193"	4.15992699	"10349"	4.18543169	"7039"	4.26086963	"31062"	4.27898483	
"13454"	"10349"	2.13128806	"3350"	2.15558455	"22055"	2.26339849	"30619"	2.34705606	"22468"	2.42216574	"1484"	3.24006763	
"11995"	"30619"	2.34852601	"4644"	2.51356345	"18639"	2.53753925	"8009"	3.36475592	"7039"	3.38767596	"22055"	3.53884104	
"4958"	"30619"	3.40294840	"13454"	4.05589233	"29052"	4.13194614	"7039"	4.16812574	"10672"	4.17585267	"31329"	4.17674727	
"4514"	"29052"	1.12452722	"10349"	2.17133378	"10672"	2.19329893	"13482"	2.21977917	"17193"	2.27766536	"21335"	2.38064440	
"7578"	"17702"	1.18988749	"25668"	1.23636162	"19330"	2.11368797	"31329"	2.13775001	"9364"	2.30350662	"14864"	2.38291504	
"15151"	"7578"	0.19490556	"17702"	1.02237919	"25668"	1.23782825	"9364"	2.13797428	"19330"	2.19080663	"31329"	2.21399088	
"8648"	"7039"	2.14854039	"11995"	2.37183279	"18639"	3.46707632	"4644"	3.55268956	"13454"	4.09639023	"22055"	4.16700825	
"27890"	"10672"	3.25553720	"29052"	3.28331430	"17193"	4.13017616	"4958"	4.39039527	"7039"	4.39413746	"4514"	4.40784152	
"1491"	"15151"	1.28827155	"17702"	1.29328962	"7578"	1.48317712	"14864"	2.26464564	"25668"	2.30803998	"9364"	2.34405405	
"14376"	"21335"	1.47912325	"4514"	3.20806788	"1484"	3.26307387	"8009"	3.31933554	"29052"	3.33259511	"10672"	3.40136681	
"25973"	"3350"	1.24656129	"22468"	2.41078805	"23053"	2.68788544	"13454"	3.12817325	"22544"	3.26621901	"31146"	3.36489236	
"3963"	"15151"	2.01947077	"14864"	2.20236039	"7578"	2.20283204	"25668"	2.21835747	"17702"	3.04184997	"9364"	3.11850350	
"18235"	"25875"	1.80299268	"28947"	2.27938886	"29286"	2.46910124	"7533"	2.48548135	"29352"	2.71126925	"19330"	3.31652500	
"6714"	"801"	3.11307071	"20842"	3.23568754	"23053"	3.30467563	"10349"	3.41663344	"1491"	3.47372815	"29052"	3.50681319	
"4146"	"3350"	1.16453139	"25973"	2.19194270	"13454"	3.32011595	"22544"	3.40336719	"29286"	3.72899026	"22468"	4.22671733	
"24486"	"14864"	2.57737377	"19330"	2.68333554	"28947"	3.17252647	"17951"	3.18513321	"23053"	3.24293511	"29286"	3.36246884	
"29092"	"1484"	0.63271335	"9408"	2.32566547	"10349"	2.56663489	"25668"	2.74277009	"801"	2.74867462	"30619"	2.75955082	
"12171"	"30619"	1.45590470	"10349"	2.15572575	"4514"	2.18847360	"13454"	2.25961656	"22055"	2.29005534	"1484"	3.14898700	
"21617"	"24669"	2.48837468	"18639"	2.71056624	"6714"	3.16217244	"20842"	3.18310414	"11995"	3.23793191	"30619"	3.52155301	
"3083"	"17951"	3.41373882	"23053"	4.08923154	"6714"	4.39390717	"29352"	4.46795333	"20842"	4.47191735	"15151"	4.66155555	
"12479"	"19330"	2.12036593	"9364"	2.15164449	"31329"	2.19834471	"25668"	2.27628031	"17951"	2.48015821	"31146"	2.59223291	
"8917"	"12171"	0.16654433	"30619"	1.48546273	"10349"	2.06561310	"13454"	2.13840667	"4514"	2.18215236	"22055"	2.37440790	
"26474"	"15151"	1.18702499	"7578"	1.38193056	"1491"	2.15604108	"17702"	2.19204306	"25875"	2.36662254	"25668"	2.37005873	
"14575"	"32352"	3.50066026	"22055"	4.09115377	"14757"	4.27356887	"24486"	4.47971765	"22468"	4.65255974	"8917"	4.79485603	
"26324"	"29352"	1.87812235	"18235"	2.48620812	"25875"	2.50856538	"31146"	2.51551846	"17951"	2.57733250	"25668"	2.59495467	
"26398"	"21617"	2.45568220	"4958"	3.03488288	"25973"	3.10716379	"11995"	3.25443309	"22055"	3.34563244	"30619"	3.42929001	
"25811"	"22468"	1.12332356	"20842"	3.22838240	"32352"	3.38706378	"25973"	3.38991879	"26398"	3.49708258	"13454"	3.51809204	
"14292"	"11995"	1.18861759	"4644"	1.32494586	"18639"	2.34892166	"30619"	3.15990842	"8648"	3.22774370	"21617"	3.36164458	
"24514"	"15151"	0.05439574	"7578"	0.22270159	"17702"	1.07677493	"26474"	1.15922896	"25668"	1.21082976	"1491"	1.26047552	
"20444"	"4514"	1.39548623	"29052"	1.41797263	"10672"	2.58878516	"21335"	2.72133611	"1484"	3.19916429	"13482"	3.20710214	
"23074"	"801"	2.23305661	"13454"	2.24886278	"3350"	3.14807274	"20842"	3.27426420	"8917"	3.34193500	"30619"	3.34934350	
"21"	"28947"	1.50078731	"29286"	1.83101634	"14864"	2.15073453	"9364"	2.23459142	"7533"	2.24867460	"25875"	2.26006349	
"15442"	"25875"	2.76831479	"6714"	3.31554258	"29286"	3.35016229	"18235"	3.41823953	"801"	3.42861329	"15541"	3.45239342	
"7151"	"8009"	2.18733396	"21335"	2.32028353	"20842"	2.53276673	"9408"	2.75649054	"4514"	3.07606630	"29052"	3.20059352	
"12339"	"6714"	4.16589467	"21"	4.23766172	"15442"	4.48143725	"801"	5.16241300	"20842"	5.21963910	"21617"	5.22775665	
"19906"	"24669"	2.16238461	"23074"	2.31816412	"21617"	2.32599006	"12171"	2.42472531	"8917"	2.45428335	"801"	3.13990203	
"11428"	"19906"	0.44430909	"12171"	2.40328098	"8917"	2.43283902	"24669"	2.45500591	"23074"	2.57069239	"21617"	2.77029916	
"3610"	"13454"	2.06509712	"22055"	2.19830136	"30619"	2.33675346	"8917"	3.17610653	"12171"	3.19451943	"1484"	3.22976502	
"7914"	"26398"	3.15022845	"4958"	4.12388685	"22544"	4.15835384	"24669"	4.27328048	"30619"	4.27906155	"22055"	4.30499302	
"21699"	"7039"	3.22144295	"8648"	4.11887826	"31062"	4.14853322	"14376"	4.19210982	"11995"	4.25295453	"22055"	4.28588651	
"13565"	"4514"	2.01034764	"29052"	2.13487486	"20444"	2.38513858	"17702"	3.11402068	"15151"	3.11903875	"24514"	3.15453507	
"25600"	"1484"	2.26306040	"15541"	2.53796175	"29092"	2.60950034	"26474"	3.08095972	"15151"	3.10606527	"14376"	3.10960251	
"3341"	"10349"	2.15143776	"9364"	2.20786995	"1484"	2.21621794	"31329"	2.28388656	"30619"	2.32320638	"20842"	2.57323159	
"14124"	"24486"	2.37880573	"14864"	3.24987875	"19330"	3.35584051	"26474"	4.10418289	"7533"	4.12454141	"9364"	4.16602186	
"31987"	"28947"	1.17044812	"14864"	1.23439918	"21"	1.33033919	"29286"	1.61620597	"9364"	2.15054229	"7533"	2.15736252	
"29001"	"8917"	1.24539563	"12171"	1.41193997	"13454"	2.15232341	"19906"	2.38600831	"22055"	2.41572191	"30619"	2.41718770	
"28787"	"23074"	2.16968943	"19906"	3.17587194	"801"	3.18320816	"7151"	3.18401717	"4958"	3.19589707	"26398"	3.22223868	
"5685"	"1484"	1.27163022	"21335"	1.30533611	"29092"	1.62744474	"4514"	2.07530828	"7151"	2.09658007	"8009"	2.11815115	
"4244"	"1484"	1.18679654	"29092"	1.61542826	"5685"	2.09750980	"25600"	2.13105837	"10349"	2.19353529	"801"	2.35572598	
"21207"	"28947"	1.29228452	"23053"	1.35886218	"31146"	1.53656801	"14864"	2.21620433	"31987"	2.25882269	"21"	2.26955143	
"11154"	"28947"	0.72339624	"21"	1.32464973	"21207"	1.43111172	"7533"	1.44388626	"31987"	1.55294811	"29286"	1.91310862	
"21324"	"8009"	4.23772057	"4244"	5.03273489	"8648"	5.03578066	"4786"	5.03892560	"13316"	5.09158872	"13565"	5.11610527	
"10402"	"11995"	2.66183105	"8648"	2.70095716	"4644"	3.25989566	"18639"	3.41610518	"14292"	3.47321346	"7039"	3.84949755	
"6094"	"29052"	1.33225069	"25600"	2.15716627	"4244"	2.19049146	"13565"	2.19737582	"4514"	2.20772347	"1491"	2.20993448	
"25398"	"24486"	1.62912619	"19330"	1.82608521	"29352"	2.45879042	"12479"	2.70571928	"17951"	2.71069837	"26324"	2.74561076	
"3039"	"25668"	2.27907551	"7533"	2.39301267	"7578"	2.43158724	"24514"	2.46250801	"15151"	2.51690376	"26474"	2.56694246	
"15154"	"29052"	1.25310857	"10672"	1.32188028	"5685"	2.15227474	"6094"	2.16133390	"4514"	2.22758303	"6714"	2.25370461	
"16605"	"26324"	2.54134191	"18235"	3.02122861	"29352"	3.04452763	"25875"	3.04990729	"26474"	3.41652983	"23053"	3.79416712	
"19477"	"23053"	1.42190837	"29286"	1.64500314	"14864"	2.09184977	"9364"	2.11448216	"12479"	2.13920314	"31987"	2.18283268	
"10804"	"5685"	1.15846826	"21335"	1.38161259	"15154"	2.03677040	"4514"	2.19081263	"7151"	2.21208441	"8009"	2.27661941	
"15860"	"7039"	2.04500122	"13454"	2.06723218	"10804"	2.18690186	"15154"	2.22367226	"4514"	3.02348649	"5685"	3.07139751	
"30981"	"7533"	2.27813004	"28947"	3.02601733	"31987"	3.16906819	"18235"	3.27800894	"21"	3.49940739	"29286"	3.51130156	
"15674"	"15860"	1.10335118	"13454"	2.08839158	"15154"	2.19003714	"8648"	3.06279317	"28787"	3.11277041	"5685"	3.11995418	
"28898"	"10349"	1.29626413	"15154"	2.11812503	"13454"	2.19237332	"6094"	2.19726715	"15674"	2.22597039	"4244"	2.28571779	
"29679"	"13454"	1.16544281	"10349"	1.26563363	"28898"	1.35781614	"4244"	2.07209834	"1484"	2.25889488	"6094"	2.26258980	
"19756"	"7578"	1.08447558	"24514"	1.13822601	"15151"	1.16522450	"25668"	2.15188604	"17702"	2.18760369	"26474"	2.29745497	
"13329"	"20842"	2.72297117	"3083"	3.00011071	"9408"	3.24967502	"801"	3.73300196	"19906"	3.87290400	"6094"	3.89823649	
"4774"	"4514"	2.66281959	"29052"	2.66773045	"20444"	3.00351130	"21335"	3.28217518	"15154"	3.43523656	"10804"	3.47200696	
"30352"	"24514"	1.51656428	"15151"	1.57096003	"25668"	1.68056685	"7578"	1.69243868	"23053"	2.00136397	"28947"	2.26082548	
"9775"	"3341"	1.24966978	"10804"	2.14661380	"1484"	2.33957428	"20842"	2.54892877	"29092"	2.68601422	"9408"	2.77265258	
"1971"	"6094"	0.20823486	"29052"	1.43844474	"25600"	2.07846585	"15154"	2.18533617	"1491"	2.18593221	"29679"	2.19222040	
"30752"	"19330"	1.09429410	"31329"	1.11835614	"25668"	1.21696775	"9364"	1.28411275	"31146"	1.45072857	"7578"	2.03540065	
"23382"	"21207"	2.45012662	"28947"	3.37394594	"23053"	3.41312635	"24486"	3.41551412	"17951"	3.43626377	"29352"	3.63152352	
"4617"	"19906"	1.23842306	"11428"	1.54574586	"23074"	2.15322179	"13454"	2.22391624	"15860"	2.29114843	"21617"	2.29803403	
"17822"	"18235"	1.19134385	"28947"	2.11544227	"17951"	2.17776010	"31987"	2.24636401	"29286"	2.36984195	"7533"	2.40372654	
"30955"	"23053"	1.24641809	"29286"	2.26295009	"21207"	2.38070659	"23382"	2.39818715	"19477"	2.56628564	"31146"	2.91727460	
"18995"	"21617"	2.27443000	"19906"	2.33200158	"24669"	2.36782775	"12171"	2.71591057	"8917"	2.74546861	"11428"	2.76160917	
"13124"	"21207"	1.30774046	"7533"	1.32806323	"3039"	2.16699025	"23382"	2.34987766	"11154"	2.36223120	"28947"	2.39594335	
"21019"	"22055"	1.04577723	"30619"	1.32415374	"11428"	2.16403049	"3610"	2.21668134	"15860"	2.24194354	"9775"	2.25483434	
"10375"	"21617"	4.42917240	"4644"	4.66837695	"26398"	5.06293680	"4786"	5.06837836	"15860"	5.08652933	"8648"	5.11568738	
"9983"	"23053"	1.84170526	"15154"	2.40717260	"31146"	2.40987587	"19477"	2.41979689	"25973"	2.46864578	"21207"	2.50333513	
"7129"	"15541"	1.51866496	"1484"	2.24562111	"4244"	2.40502039	"25600"	2.50868151	"29092"	2.80551726	"10349"	3.23888236	
"11986"	"22544"	0.44962954	"3350"	2.21079375	"7533"	2.32587929	"13124"	3.00218393	"4146"	3.25034398	"25973"	3.34024587	
"31925"	"25973"	2.08676866	"17702"	2.17142608	"3350"	2.23128914	"19906"	2.40138052	"11428"	2.40733345	"7578"	3.01846141	
"5002"	"15674"	1.84846823	"28898"	2.80588028	"13454"	2.81487116	"15860"	2.88210335	"22468"	3.59678705	"19477"	3.64580680	
"2953"	"25398"	2.87458720	"31925"	3.25939787	"25973"	3.34616653	"19330"	3.35462443	"22544"	3.40830391	"11986"	3.47167408	
"4603"	"14292"	2.08563349	"11995"	2.10298410	"26398"	2.32073440	"18639"	2.43455515	"8648"	3.26884869	"21617"	3.27601109	
"22379"	"24486"	1.57040639	"25398"	1.57926774	"14864"	2.32068148	"14124"	2.32510315	"19330"	2.41905159	"30352"	2.49783513	
"20084"	"3039"	1.43759115	"25668"	1.51468002	"30352"	2.16588682	"17951"	2.18766027	"9364"	2.27010545	"12479"	2.29249794	
"28908"	"6714"	2.08730848	"801"	3.06339289	"19477"	3.12691107	"14864"	3.17847757	"15154"	3.20402679	"4617"	3.21670844	
"21825"	"25875"	1.22076226	"29286"	1.97990661	"7533"	2.20633810	"21"	2.25093108	"11154"	2.30915644	"19477"	2.33490346	
"23902"	"3350"	2.12896747	"25973"	2.22718286	"31925"	2.31395152	"2953"	2.57334940	"9364"	3.12792902	"4146"	3.14515296	
"16899"	"15154"	0.11320948	"29052"	1.15392254	"10672"	1.20867079	"5685"	2.07370340	"15674"	2.11146580	"28898"	2.11450459	
"21396"	"1491"	0.42910500	"24514"	1.19228749	"15151"	1.22302522	"17702"	1.24540441	"7578"	1.41498908	"9364"	2.22107150	
"26648"	"13124"	3.30330023	"28898"	3.37368665	"20842"	3.37508998	"6094"	3.37627828	"1971"	3.47492411	"25600"	3.53344456	
"25495"	"12171"	1.24038597	"8917"	1.29734127	"30619"	1.31755954	"10349"	2.28652268	"21019"	2.31271665	"22055"	2.31767756	
"31769"	"28898"	1.19396300	"15154"	1.22553188	"16899"	1.30410322	"15674"	1.41556903	"19477"	2.21290760	"10804"	2.26230228	
"14248"	"29679"	1.60720988	"15442"	2.30662898	"26648"	2.41521984	"13454"	2.55683510	"28898"	2.58482487	"10349"	2.62962867	
"10106"	"19330"	0.26845519	"9364"	1.32128754	"30752"	1.34638685	"31329"	1.34731175	"14864"	1.40069596	"25668"	1.44592337	
"13276"	"6094"	1.08668106	"16899"	1.10567054	"10349"	1.17812982	"15154"	1.18424187	"28898"	1.22017513	"29679"	1.23968182	
"340"	"9364"	1.15205694	"31329"	1.41985437	"10106"	2.28156367	"19330"	2.34187559	"30752"	2.43616970	"25668"	2.44369174	
"5961"	"15860"	1.36715234	"10804"	1.50901760	"21019"	1.60909588	"7039"	2.32996178	"5685"	2.35054934	"15674"	2.47050352	
"27319"	"11995"	1.04280798	"14292"	2.14580960	"8648"	2.32902480	"4644"	2.47075547	"10402"	2.61902306	"4603"	3.06017611	
"7494"	"18235"	0.52659720	"17822"	1.33525335	"25875"	1.63255986	"28947"	2.24720834	"31987"	2.41765646	"7533"	2.42467749	
"7751"	"14376"	2.28429598	"25600"	2.31167976	"22055"	2.32327815	"1484"	2.35474181	"29092"	2.71055632	"25398"	2.95048212	
"2486"	"25668"	0.33833355	"15151"	1.10050530	"24514"	1.15490105	"30752"	1.22122247	"9364"	1.23847958	"7578"	1.24061634	
"7965"	"9364"	2.34950196	"31329"	2.42551857	"2486"	3.11102237	"17702"	3.18914848	"15151"	3.21152768	"3963"	3.23099846	
"23730"	"2953"	2.96203397	"22379"	4.63789667	"3350"	4.83869389	"14124"	4.84284449	"23902"	4.85807233	"14575"	4.86367424	
"27467"	"14575"	1.08530026	"2953"	2.75278550	"7751"	2.88990491	"22055"	3.07441321	"14757"	3.22908493	"25398"	3.26818991	
"16125"	"10106"	1.14059479	"9364"	1.18069275	"19330"	1.36529027	"2486"	1.41917233	"31329"	1.44326905	"30752"	1.45958438	
"12572"	"29001"	2.06885423	"15674"	2.14446351	"15860"	2.17809863	"7039"	2.22309985	"5961"	2.38083452	"16899"	3.03299770	
"7987"	"24514"	1.26756865	"15151"	1.32196440	"26474"	1.37200310	"7578"	1.47568088	"20084"	2.08611533	"30352"	2.24899562	
"3601"	"18995"	2.22218920	"19906"	2.25977107	"4617"	2.36864360	"23074"	2.44838466	"30619"	2.45533401	"8917"	2.52327940	
"12639"	"22055"	2.78174529	"3601"	3.19732073	"11995"	3.24290424	"27319"	3.28571223	"29001"	3.37370264	"10402"	3.49377639	
"18534"	"18995"	2.32530291	"18639"	2.59705558	"21617"	3.11351065	"27319"	3.14425102	"4603"	3.16250043	"11995"	3.18705900	
"7029"	"18995"	1.30350856	"18534"	2.07658886	"19906"	2.13589054	"21617"	2.19009952	"24669"	2.29827516	"11428"	2.58019964	
"14412"	"29052"	2.29583131	"20444"	2.40768150	"4514"	2.42035854	"10804"	2.58571029	"5961"	3.14779710	"17193"	3.19748770	
"7064"	"21617"	1.32291049	"18995"	1.59734049	"11995"	2.08497858	"14292"	2.27359617	"26398"	2.28461715	"7029"	2.29383192	
"16276"	"3601"	2.17065892	"19906"	2.21125190	"21617"	2.21677897	"4617"	2.23880101	"7064"	2.26571686	"20842"	2.29029407	
"11467"	"3350"	2.22320652	"4146"	2.37101455	"25973"	3.45304445	"23902"	4.22586158	"11986"	4.25289334	"22544"	4.36000151	
"21059"	"26324"	1.52959449	"30752"	1.69907913	"29352"	1.89964514	"16605"	1.94257512	"9364"	2.45806345	"16125"	2.46915151	
"12140"	"21207"	1.14521972	"28947"	1.33546342	"17702"	1.36660730	"11154"	1.38793281	"19477"	2.09177166	"13124"	2.16252073	
"11516"	"15442"	2.11703507	"6714"	2.43257765	"28908"	2.48225547	"801"	2.54564836	"20842"	2.58607342	"29679"	2.69316650	
"17290"	"19906"	1.45515303	"16276"	1.54868146	"4617"	1.65804440	"21617"	1.66341962	"21019"	1.75737017	"11428"	1.79742131	
"23984"	"30955"	1.31463778	"30352"	2.23012102	"23053"	2.23148499	"19477"	2.30272730	"340"	2.32640616	"24514"	2.45328276	
"7163"	"9775"	3.16186163	"20842"	3.38706714	"17290"	3.44271501	"7751"	3.44551009	"9408"	3.61079095	"19906"	4.01495923	
"13371"	"2953"	2.60401677	"22544"	3.63314447	"11986"	3.63667592	"23382"	3.67254384	"23730"	3.71972469	"21699"	3.78320756	
"8607"	"20842"	1.45780158	"13329"	1.96035112	"17951"	2.63044457	"9408"	2.77178255	"7751"	3.18747741	"3341"	3.20843094	
"20406"	"2486"	0.14158643	"25668"	0.22414437	"15151"	1.14958143	"24514"	1.20397717	"7578"	1.26229521	"30752"	1.27029860	
"5955"	"29001"	1.15021971	"8917"	1.21849474	"19906"	1.23578860	"12171"	1.28911752	"21019"	1.31127943	"11428"	1.35133057	
"27973"	"24514"	1.10718421	"15151"	1.13418270	"17702"	1.15656189	"7578"	1.21907842	"21396"	1.29947170	"1491"	1.36765973	
"24180"	"13454"	2.25804951	"15860"	2.29788444	"15674"	2.34644110	"14248"	2.81488462	"5961"	3.12406241	"20444"	3.23432365	
"21644"	"31925"	1.45405819	"21396"	2.13223117	"3350"	2.27756356	"23902"	2.40653103	"25973"	2.46933034	"1491"	2.56133618	
"20016"	"26648"	3.30481298	"15541"	3.60641824	"7129"	3.97676641	"4774"	4.24424631	"20842"	4.30930411	"14248"	4.33647119	
"12055"	"11986"	2.36231316	"24669"	2.52202450	"22544"	2.57944487	"21617"	3.17043180	"7029"	3.22374934	"7533"	3.33957954	
"17159"	"18995"	1.63050215	"12171"	2.10581658	"8917"	2.24496366	"4514"	2.26689293	"4958"	2.39392822	"28787"	2.41720923	
"28325"	"29679"	0.28192184	"13454"	1.11647903	"28898"	1.14410787	"13276"	1.14428083	"10349"	1.17955351	"14248"	1.48153332	
"18839"	"2486"	0.10343474	"20406"	0.15251086	"25668"	0.23489881	"15151"	1.00292943	"24514"	1.05146631	"9364"	1.13504484	
"27193"	"25973"	1.29649070	"21644"	1.34092111	"31925"	1.38325936	"3350"	2.20676474	"23902"	2.23369140	"4146"	3.16721451	
"10118"	"2953"	2.32219390	"22379"	3.48586848	"24486"	3.77056059	"13371"	3.86517955	"27467"	3.87049869	"14575"	3.91762515	
"22934"	"17822"	0.15341746	"18235"	1.07874271	"7494"	1.48867082	"28947"	2.26885974	"17951"	2.33117756	"31987"	2.39978147	
"8581"	"5955"	2.06552234	"21019"	2.37680178	"12572"	3.05932357	"13454"	3.09502330	"29001"	3.12817780	"4617"	3.12889293	
"19244"	"18995"	1.71863185	"7029"	2.45593960	"8917"	2.47581635	"7064"	2.49095354	"26398"	2.56250077	"12171"	2.57806374	
"15583"	"5955"	0.48205259	"8917"	1.26355784	"12171"	1.29311588	"29001"	1.36372205	"21019"	1.62894846	"11428"	1.69639687	
"32378"	"31146"	1.01217766	"25668"	1.30377492	"20406"	1.30812455	"18839"	1.34627624	"2486"	1.42231372	"27973"	1.42461917	
"18279"	"1491"	0.64478024	"21396"	0.68506300	"7578"	1.51664925	"24514"	1.54757003	"27973"	1.57134411	"15151"	1.60196577	
"29563"	"2486"	1.08557515	"18839"	1.18900989	"20406"	1.19976433	"30752"	1.30679763	"9364"	1.32405474	"19330"	1.37688709	
"29196"	"21019"	2.85670047	"11995"	3.40949455	"12639"	3.43322071	"15583"	3.49799582	"5961"	3.51895957	"5955"	3.54542103	
"8876"	"7029"	1.17436922	"18995"	1.47787779	"19906"	2.14587620	"24669"	2.17127452	"6714"	2.17383940	"7064"	2.17425722	
"10407"	"19477"	1.24767385	"1491"	1.29636943	"18279"	1.37580807	"21396"	1.39144670	"23053"	1.66753232	"29286"	1.79066704	
"31905"	"10349"	1.57838539	"15541"	2.30267456	"28898"	2.37541298	"28325"	2.39883187	"1971"	2.47599342	"6094"	2.47938841	
