ID	1st	1st dist	2nd	2nd dist	3rd	3rd dist	4th	4th dist	5th	5th dist	6th	6thdist
"12140"	"20201"	0.15677548	"1493"	1.00155570	"18353"	1.00194986	"6898"	1.00208282	"16868"	1.00316249	"994"	1.00321884	
"11516"	"22196"	0.32892549	"27539"	1.15711213	"13466"	1.16181900	"8912"	1.17042341	"11213"	1.21494005	"27082"	1.43278448	
"17290"	"306"	0.35795416	"21318"	0.35828830	"17698"	0.36228408	"18267"	0.39831947	"2792"	0.40843866	"442"	0.43077947	
"23984"	"2883"	1.00669461	"29899"	1.00756672	"20269"	1.00841908	"5320"	1.01340898	"15995"	1.01500527	"30955"	1.01587840	
"7163"	"492"	1.00439388	"25713"	1.01885756	"21697"	1.41641225	"9591"	1.42008948	"32044"	1.42745866	"1425"	1.42857809	
"13371"	"19897"	1.20375081	"3737"	1.42023563	"4607"	1.43096888	"5754"	1.44386973	"4686"	1.45124320	"16751"	1.45306545	
"8607"	"30382"	1.01110493	"12044"	1.01149414	"9366"	1.02607585	"30441"	1.02651828	"20842"	1.04567733	"23342"	1.04605421	
"20406"	"31582"	0.04498539	"28342"	0.05039293	"19457"	0.05747527	"19021"	0.09197904	"2486"	0.09482131	"18839"	0.09612361	
"5955"	"11802"	0.04644211	"2217"	0.08535302	"5503"	0.09309876	"13128"	0.09543423	"15455"	0.11390532	"27159"	0.12229060	
"27973"	"14749"	0.09644665	"16948"	0.11034481	"25700"	0.17613888	"22199"	0.20028855	"27613"	0.21528936	"14233"	0.24859674	
"24180"	"16317"	1.00157459	"20612"	1.02171173	"4129"	1.02285790	"30713"	1.02763542	"20019"	1.03297017	"8808"	1.10122063	
"21644"	"28451"	1.00671500	"9609"	1.01115766	"7402"	1.02451602	"3848"	1.03232170	"29703"	1.03334006	"11683"	1.09091057	
"20016"	"9921"	1.43874746	"31916"	1.52687817	"20035"	1.73668752	"8858"	1.74586758	"26648"	1.74695170	"18361"	1.74735503	
"12055"	"26116"	0.19478651	"14986"	1.00335948	"12269"	1.00782743	"23104"	1.00792410	"2725"	1.00807057	"13084"	1.01015533	
"17159"	"29180"	1.00363263	"9612"	1.00744472	"21739"	1.00853922	"24209"	1.00958628	"10765"	1.01309839	"8502"	1.01323598	
"28325"	"4741"	0.04072261	"18360"	0.05469238	"15468"	0.07767118	"29679"	0.18624931	"2071"	0.26253425	"12304"	1.00042856	
"18839"	"19021"	0.01941978	"26169"	0.05041278	"25007"	0.05858183	"5087"	0.06491331	"28342"	0.06630952	"31193"	0.07682509	
"27193"	"21869"	1.00270494	"22006"	1.00760569	"21606"	1.00800647	"24570"	1.00833746	"15430"	1.00861937	"25256"	1.01031151	
"10118"	"22911"	1.01164091	"24580"	1.03186233	"22634"	1.41591480	"11414"	1.41647930	"15524"	1.41771129	"7323"	1.41859974	
"22934"	"17822"	0.11977056	"31267"	0.26570930	"14574"	0.76103613	"18235"	1.00171426	"21600"	1.00383456	"21470"	1.00521816	
"8581"	"19494"	1.00371028	"27982"	1.00663872	"11802"	1.41465992	"13491"	1.41495814	"5955"	1.41505813	"19663"	1.41518875	
"19244"	"17450"	1.03420817	"24235"	1.04934402	"3566"	1.05541749	"3343"	1.07627872	"5921"	1.08047894	"18995"	1.08572287	
"15583"	"2051"	0.11853026	"7848"	0.12923248	"31155"	0.16699334	"31530"	0.23839513	"2217"	0.25083166	"5503"	0.25769605	
"32378"	"6085"	0.14059375	"25330"	0.14689110	"459"	0.16535672	"23486"	0.24475644	"17626"	0.29287086	"13728"	0.33641337	
"18279"	"10659"	0.06169674	"13856"	0.12344486	"19616"	0.15397955	"19073"	0.16700948	"3531"	0.17386528	"13871"	0.20915014	
"29563"	"17129"	0.14407932	"29233"	0.17611992	"15944"	0.17715207	"30265"	0.19361994	"7786"	0.20952149	"26046"	0.22395583	
"29196"	"606"	1.43359228	"9591"	1.43533104	"30957"	1.44185552	"13663"	1.44589533	"152"	1.44850006	"10904"	1.45283981	
"8876"	"13774"	0.02745471	"10000"	0.10229830	"30689"	0.16155979	"10941"	0.19038199	"14318"	0.25635971	"12095"	1.00086588	
"10407"	"30129"	0.04443160	"6062"	0.07900821	"14982"	0.10048912	"8334"	0.10577589	"20524"	0.10865289	"24093"	0.11044004	
"31905"	"22398"	1.00845906	"8163"	1.02534737	"30705"	1.03182269	"12295"	1.03340332	"20232"	1.05133942	"11010"	1.05288118	
