ID	1st	dist	2nd	dist	3rd	dist	4th	dist	5th	dist
"1369"	"25668"	2.39943334	"9364"	2.41713523	"31146"	2.55003134	"14864"	2.55295390	"29286"	2.63193944	
"10672"	"29052"	0.30414585	"17193"	1.51503391	"1484"	1.63078700	"8009"	1.71227721	"9364"	1.73897869	
"31062"	"17193"	1.15034493	"8009"	1.84881209	"29052"	2.10309730	"10672"	2.30520234	"13316"	2.39179111	
"28947"	"29286"	0.55195089	"9364"	0.80816990	"14864"	0.83561653	"17951"	1.45601545	"25668"	1.48442008	
"22544"	"3350"	0.59121674	"30619"	2.34364250	"22055"	2.41909979	"13316"	2.55726865	"29052"	2.66593595	
"20842"	"25668"	1.01862122	"9364"	1.20638728	"31146"	1.25765074	"14864"	1.26057330	"1484"	1.47824476	
"32352"	"9364"	1.21933345	"20842"	1.23362917	"14864"	1.35515212	"28947"	1.53435267	"29286"	1.54780934	
"21335"	"10672"	0.60571417	"29052"	0.60606808	"1484"	1.76832566	"9364"	1.84912010	"17193"	1.87175065	
"23053"	"29286"	0.73942775	"28947"	0.79039459	"14864"	0.87786071	"9364"	1.00870870	"25668"	1.02279261	
"17702"	"25668"	0.48072026	"31146"	0.62944585	"9364"	0.76548167	"14864"	0.77241548	"1484"	0.96278606	
"19330"	"9364"	0.26674172	"14864"	0.40256040	"25668"	0.48516047	"31146"	0.72418999	"17702"	0.74139095	
"9408"	"20842"	1.49541419	"9364"	1.58395724	"14864"	1.75117309	"19330"	1.81365700	"21335"	1.95050947	
"4786"	"13316"	1.29527174	"31062"	1.75847363	"22055"	2.23462219	"30619"	2.39520284	"17193"	2.54350174	
"31329"	"19330"	0.15577963	"9364"	0.26779742	"14864"	0.55746225	"25668"	0.58526781	"31146"	0.82429733	
"29352"	"17951"	0.84779308	"23053"	1.38707143	"9364"	1.83675640	"25668"	1.87653072	"19330"	1.92856072	
"22468"	"22055"	1.18640149	"30619"	1.23627484	"3350"	1.69478631	"23053"	1.74580487	"13316"	1.82329243	
"25875"	"28947"	1.38674798	"14864"	1.43261519	"17951"	1.46037733	"9364"	1.56843387	"31146"	1.70951036	
"801"	"20842"	0.53652621	"23053"	1.03326336	"25668"	1.05619592	"17702"	1.08662479	"14864"	1.09285923	
"15541"	"1484"	1.29877610	"29352"	1.30371533	"17951"	1.35637139	"32352"	1.74919138	"20842"	2.00804009	
"24669"	"22544"	1.82190120	"3350"	1.90684500	"22468"	2.27855439	"30619"	2.29272830	"13316"	2.36899807	
"7039"	"13316"	1.58163945	"8009"	1.64290957	"4786"	1.96769014	"22055"	2.22822866	"18639"	2.46177056	
"10349"	"1484"	0.76006161	"31329"	1.03448960	"9364"	1.07233493	"14864"	1.09533310	"29052"	1.09991286	
"7533"	"28947"	0.57399855	"25875"	0.81274942	"14864"	0.84182085	"9364"	0.91641503	"29286"	1.12594945	
"4644"	"18639"	2.11888271	"7039"	2.17302483	"30619"	2.55551050	"8009"	2.75263971	"13316"	2.83467833	
"13482"	"8009"	1.27526661	"29052"	2.37570565	"31062"	2.46208551	"10349"	2.64257455	"15541"	2.65935349	
"13454"	"22055"	0.76083439	"30619"	0.76756888	"22468"	1.05037087	"10349"	1.28513422	"3350"	1.28891788	
"11995"	"4644"	1.11356345	"7039"	1.25947083	"18639"	1.51189822	"8009"	1.71860207	"13316"	1.82648002	
"4958"	"13454"	0.84307182	"22055"	1.29621391	"30619"	1.30294840	"3350"	1.32219046	"13316"	1.43432707	
"4514"	"29052"	0.43221953	"10672"	0.63432457	"10349"	0.77133378	"21335"	0.90884953	"1484"	1.12979576	
"7578"	"25668"	0.30302829	"17702"	0.34373365	"19330"	0.48804695	"31329"	0.58903206	"31146"	0.61371218	
"15151"	"17702"	0.17622534	"7578"	0.19490556	"25668"	0.30449492	"31146"	0.48061776	"19330"	0.56516560	
"8648"	"11995"	0.88978151	"7039"	1.27161731	"18639"	1.34399940	"4644"	1.67063828	"13454"	2.06049280	
"27890"	"13316"	1.63061285	"10672"	1.83571738	"4958"	1.84493442	"13454"	1.91364728	"17193"	1.97660721	
"1491"	"14864"	0.71592769	"9364"	0.71841303	"31329"	0.82182690	"19330"	0.84816845	"7533"	0.93415716	
"14376"	"21335"	0.62198039	"29052"	0.69596507	"10672"	0.76473678	"4514"	0.87913015	"1491"	1.50629336	
"25973"	"3350"	0.70809975	"22544"	1.08013842	"4958"	1.34663988	"22468"	1.37745471	"13316"	1.67151841	
"3963"	"15151"	0.81586717	"17702"	0.99209252	"7578"	0.99922844	"25668"	1.08142053	"14864"	1.23978242	
"18235"	"25875"	0.93632602	"7533"	0.98071944	"28947"	1.06034124	"29286"	1.31672029	"17951"	1.37349955	
"6714"	"801"	1.47204507	"28947"	1.53053806	"29052"	1.57347985	"9408"	1.64430773	"20842"	1.71773882	
"4146"	"3350"	0.65101788	"25973"	1.13996765	"22544"	1.24223463	"4958"	1.87122292	"13454"	1.93993577	
"24486"	"32352"	0.90937801	"9364"	0.97996377	"19330"	1.09285935	"17951"	1.11114053	"14864"	1.12023092	
"29092"	"1484"	0.63271335	"15151"	1.10494183	"10349"	1.21791694	"25668"	1.27610342	"17702"	1.27966041	
"12171"	"22055"	0.43364509	"30619"	0.52257136	"13454"	0.61346271	"4958"	1.14884223	"10349"	1.35572575	
"21617"	"24669"	0.84075563	"25973"	1.50499348	"3350"	1.78519268	"22468"	1.82782133	"20842"	2.01387337	
"3083"	"15541"	1.92816448	"17951"	1.94707216	"29352"	2.14414381	"4514"	2.16380144	"23053"	2.32732678	
"12479"	"18235"	0.99133923	"25875"	1.22557286	"9364"	1.39340273	"7533"	1.40329963	"19330"	1.43904725	
"8917"	"12171"	0.16654433	"13454"	0.49225282	"22055"	0.51799764	"30619"	0.55212940	"4958"	0.98229789	
"26474"	"17951"	0.61872845	"15151"	0.90131071	"17702"	1.06017493	"7578"	1.09621627	"25875"	1.10508407	
"14575"	"8917"	1.74796958	"30619"	1.78728563	"12171"	1.83640376	"22055"	1.90067758	"14757"	1.98052857	
"26324"	"12479"	0.81704261	"25875"	0.92907820	"18235"	1.04005428	"17951"	1.33557426	"29352"	1.49350696	
"26398"	"4958"	0.87590852	"13316"	1.01964304	"25973"	1.07383046	"8917"	1.25510732	"22055"	1.34306834	
"25811"	"22468"	0.45665689	"22055"	1.08232779	"30619"	1.13220115	"8917"	1.21885657	"12171"	1.38540091	
"14292"	"11995"	0.52195092	"4644"	0.59161253	"8648"	1.07902575	"7039"	1.58141230	"18639"	1.65661396	
"24514"	"15151"	0.05439574	"7578"	0.22270159	"17702"	0.23062109	"25668"	0.27749643	"31146"	0.50841379	
"20444"	"4514"	0.54933238	"29052"	0.57181879	"14376"	0.75942898	"10672"	0.87596464	"10349"	1.06179001	
"23074"	"13454"	0.98219611	"8917"	1.29578115	"3350"	1.34807274	"30619"	1.36985632	"22468"	1.44254544	
"21"	"28947"	0.63412065	"7533"	0.66772222	"14864"	0.71483709	"9364"	0.85510424	"1491"	0.96922632	
"15442"	"18235"	1.08490620	"25875"	1.30164812	"28947"	1.47680490	"7533"	1.47937489	"26324"	1.49812245	
"7151"	"4514"	0.96324578	"20842"	1.08661288	"801"	1.18556548	"19330"	1.31212650	"6714"	1.31605744	
"12339"	"6714"	2.07958639	"15442"	2.12699710	"18235"	2.35082731	"25875"	2.67661839	"12479"	2.78541010	
"19906"	"21617"	0.99265673	"24669"	1.04809890	"23074"	1.14380514	"22468"	1.23045549	"25811"	1.25971512	
"11428"	"19906"	0.44430909	"24669"	1.34072019	"22055"	1.38133863	"23074"	1.39633342	"25811"	1.39790177	
"3610"	"13454"	1.25068271	"8917"	1.31553827	"12171"	1.33395117	"22055"	1.34798951	"4786"	1.37093384	
"7914"	"13454"	1.06396520	"8917"	1.15621803	"30619"	1.16221174	"4958"	1.17370370	"12171"	1.25102794	
"21699"	"11995"	0.73940141	"14292"	0.97462136	"7039"	1.02583855	"8648"	1.12327386	"4644"	1.43290056	
"13565"	"4514"	0.28727071	"29052"	0.71949025	"20444"	0.81590781	"10672"	0.92159529	"10349"	1.05860450	
"25600"	"1484"	0.47258421	"15151"	0.78225574	"24514"	0.80925423	"29092"	0.81902415	"17702"	0.94111997	
"3341"	"10349"	0.58477110	"4514"	0.69562910	"1484"	0.76749999	"9364"	0.90786995	"25600"	0.93396176	
"14124"	"24486"	0.83646339	"9364"	1.11012641	"19330"	1.22302198	"14864"	1.25039355	"31329"	1.37792383	
"31987"	"28947"	0.37044812	"9364"	0.43772178	"14864"	0.46516841	"1491"	0.60580540	"7533"	0.64307681	
"29001"	"8917"	0.32231871	"13454"	0.42924649	"12171"	0.48886305	"30619"	0.56077744	"22055"	0.63623473	
"28787"	"19906"	0.93997451	"21617"	1.00006543	"23074"	1.03122789	"25973"	1.04078072	"24669"	1.05108711	
"5685"	"4514"	0.52659033	"13565"	0.66001490	"1484"	0.67163022	"25600"	0.83809198	"29052"	0.89038507	
"4244"	"1484"	0.32012988	"25600"	0.47391551	"5685"	0.63084313	"3341"	0.72671291	"29092"	0.74876159	
"21207"	"23053"	0.42552884	"14864"	0.64697356	"24514"	0.72722950	"25668"	0.73059710	"28947"	0.75382298	
"11154"	"21"	0.45798307	"28947"	0.72339624	"31329"	0.72382869	"7533"	0.72960055	"14864"	0.74931816	
"21324"	"8009"	1.23896798	"4244"	1.97757204	"31062"	2.09818478	"5685"	2.19773990	"1484"	2.23223212	
"10402"	"4644"	0.89066490	"11995"	1.22593361	"14292"	1.37064935	"21699"	1.39142456	"8648"	1.78300844	
"6094"	"3341"	0.68941957	"29052"	0.73225069	"1491"	0.74326781	"10349"	0.74976325	"4514"	0.91541577	
"25398"	"24486"	0.89579286	"19330"	0.96894236	"31329"	1.02180340	"23053"	1.02648412	"9364"	1.04032103	
"3039"	"25668"	0.63145646	"7578"	0.85063485	"24514"	0.88155563	"15151"	0.93595138	"31146"	0.94269948	
"15154"	"29052"	0.45310857	"10672"	0.65521361	"4514"	0.73527533	"6094"	0.76133390	"21335"	0.76535501	
"16605"	"26324"	1.41313678	"29352"	1.45478404	"17951"	1.67178796	"24486"	1.72548259	"3039"	1.82033789	
"19477"	"31987"	0.54693524	"21"	0.61678242	"1491"	0.63341848	"28947"	0.65071670	"11154"	0.66755133	
"10804"	"5685"	0.31231441	"4514"	0.79594083	"1484"	0.88618620	"4244"	0.90019363	"13565"	0.92936540	
"15860"	"4958"	0.89491939	"26398"	1.01356869	"28787"	1.11906689	"25973"	1.15950800	"13454"	1.15953987	
"30981"	"7533"	0.91146338	"28947"	0.94506495	"31987"	1.02144915	"29286"	1.36368252	"18235"	1.40658037	
"15674"	"13454"	0.71916081	"4958"	0.76223264	"15860"	1.02642810	"29001"	1.09361279	"7914"	1.14808536	
"28898"	"6094"	0.47419023	"15154"	0.59504811	"10349"	0.68087952	"19477"	0.83061490	"29052"	0.94535021	
"29679"	"10349"	0.41947979	"28898"	0.58858537	"6094"	0.61643595	"3341"	0.70137535	"20444"	0.87378911	
"19756"	"7578"	0.58447558	"24514"	0.63822601	"15151"	0.66522450	"25668"	0.71855270	"17702"	0.84144984	
"13329"	"20842"	1.36106641	"801"	1.51468695	"17951"	1.54809611	"9408"	1.65700103	"26474"	1.77988700	
"4774"	"15541"	1.40475300	"3083"	1.48650372	"5685"	1.52230984	"10804"	1.56065165	"4514"	1.60787454	
"30352"	"23053"	0.67828705	"24486"	0.75878725	"32352"	0.90296167	"24514"	0.91656428	"15151"	0.97096003	
"9775"	"25600"	0.60655051	"1484"	0.66008710	"4244"	0.66141841	"10804"	0.71328046	"3341"	0.78813132	
"1971"	"6094"	0.20823486	"29679"	0.54606656	"28898"	0.58038428	"1491"	0.71926554	"15154"	0.78533617	
"30752"	"19330"	0.24814026	"7578"	0.25591347	"31329"	0.34912537	"25668"	0.37081391	"15151"	0.39602451	
"23382"	"19756"	1.50530288	"21207"	1.59298376	"23053"	1.62265016	"30981"	1.63769222	"29286"	1.90684033	
"4617"	"19906"	0.43842306	"11428"	0.74574586	"28787"	0.84217879	"23074"	0.91219615	"22468"	1.06536848	
"17822"	"18235"	0.33420099	"28947"	0.75353751	"7533"	0.75610749	"25875"	0.99742835	"15442"	1.03641949	
"30955"	"23382"	0.60771096	"23053"	1.24641809	"21207"	1.44737325	"19756"	1.55630487	"29286"	1.72448855	
"18995"	"21617"	0.87955821	"28787"	1.14889917	"24669"	1.19200358	"3350"	1.38927244	"19906"	1.47046312	
"13124"	"21207"	0.59345474	"3039"	0.64391332	"7533"	0.78960169	"23053"	0.81490196	"7578"	0.89390102	
"21019"	"22055"	0.50731570	"30619"	0.86261528	"11428"	0.89736382	"15860"	0.90861021	"12171"	0.94096079	
"10375"	"26398"	1.42073306	"7039"	1.42522424	"13316"	1.48116916	"15860"	1.51355635	"21617"	1.72286609	
"9983"	"21207"	1.17000179	"5685"	1.17839628	"7151"	1.18613654	"10804"	1.20117143	"24514"	1.22809734	
"7129"	"15541"	0.58533163	"1484"	1.22657349	"4244"	1.25263944	"25600"	1.41344342	"26474"	1.45630790	
"11986"	"22544"	0.44962954	"3350"	0.56317470	"4146"	1.08921142	"25973"	1.15416528	"4958"	1.65004640	
"31925"	"25973"	0.51753789	"21617"	1.05895209	"26398"	1.06193027	"15860"	1.08606935	"3350"	1.12359683	
"5002"	"15674"	1.04846823	"13454"	1.24564039	"29001"	1.55571446	"7914"	1.64617040	"4958"	1.65173157	
"2953"	"31925"	0.93046014	"25973"	0.98645957	"22544"	1.11526362	"3350"	1.13098005	"11986"	1.17863379	
"4603"	"8648"	0.64577176	"14292"	0.71383861	"11995"	0.73118923	"21699"	1.26462244	"4644"	1.30545115	
"22379"	"24486"	0.63707306	"14124"	0.71609414	"9364"	0.79438662	"19330"	0.89524206	"25398"	0.91260107	
"20084"	"3039"	0.50425781	"17951"	0.55029763	"24514"	0.70606494	"13124"	0.70825457	"15151"	0.76046068	
"28908"	"801"	0.63775186	"6714"	0.87192386	"7151"	0.88176424	"20842"	1.02043192	"14864"	1.04514424	
"21825"	"25875"	0.36361940	"7533"	0.84443334	"18235"	0.96800993	"12479"	0.97154250	"17822"	1.02911227	
"23902"	"3350"	0.47255721	"2953"	0.87005269	"25973"	0.87846491	"11986"	0.87983778	"4146"	0.97522919	
"16899"	"15154"	0.11320948	"29052"	0.35392254	"10672"	0.54200413	"28898"	0.59142766	"21335"	0.65214553	
"21396"	"1491"	0.42910500	"31987"	0.56569510	"9364"	0.59543047	"19477"	0.61247675	"31329"	0.65159805	
"26648"	"13124"	0.90330023	"25600"	1.08655811	"21207"	1.17642793	"3039"	1.24109110	"10349"	1.30405601	
"25495"	"12171"	0.37371930	"8917"	0.43067460	"30619"	0.51755954	"22055"	0.59460064	"13454"	0.61092631	
"31769"	"15154"	0.30245496	"16899"	0.38102630	"28898"	0.59396300	"29052"	0.73494885	"10672"	0.80797466	
"14248"	"29679"	0.89292417	"7533"	0.89922725	"26648"	1.01009164	"6094"	1.02711815	"28947"	1.05349260	
"10106"	"19330"	0.26845519	"9364"	0.39821062	"31329"	0.42423483	"30752"	0.50023300	"14864"	0.53402929	
"13276"	"6094"	0.28668106	"28898"	0.29709820	"29679"	0.39352798	"10349"	0.48582212	"1971"	0.49491593	
"340"	"9364"	1.15205694	"30955"	1.21540291	"31987"	1.28869413	"23382"	1.29026512	"30981"	1.30711398	
"5961"	"15860"	0.63381900	"26398"	0.89731388	"21019"	1.00909588	"31925"	1.10333599	"13316"	1.18362359	
"27319"	"11995"	0.24280798	"14292"	0.67914294	"21699"	0.76326009	"4644"	0.87075547	"4603"	0.88838124	
"7494"	"17822"	0.47811050	"18235"	0.52659720	"25875"	0.76589319	"21825"	0.79757711	"15442"	0.80242160	
"7751"	"3341"	0.52497074	"25600"	0.68603873	"10349"	0.73240913	"4244"	0.76450417	"1484"	0.80529126	
"2486"	"15151"	0.16717196	"24514"	0.22156771	"17702"	0.29863893	"7578"	0.30728301	"25668"	0.33833355	
"7965"	"9364"	0.60355601	"31329"	0.67957262	"19330"	0.73331144	"2486"	0.74969181	"30752"	0.81706814	
"23730"	"2953"	1.14942136	"23902"	1.34216301	"3350"	1.39970766	"11986"	1.54018177	"22544"	1.60047814	
"27467"	"14575"	0.41863359	"8917"	1.32933599	"30619"	1.43721174	"12171"	1.48632987	"29001"	1.54206566	
"16125"	"31987"	0.34971063	"9364"	0.41146198	"10106"	0.44828710	"21396"	0.54535400	"28947"	0.55577520	
"12572"	"4958"	0.49856384	"29001"	0.53552089	"15674"	0.58548915	"13454"	0.72112285	"8917"	0.74752841	
"7987"	"20084"	0.29563913	"24514"	0.41042580	"15151"	0.46482154	"7578"	0.61853802	"21207"	0.62991524	
"3601"	"23074"	0.93556415	"19906"	0.99823260	"18995"	1.02218920	"25811"	1.23580851	"30619"	1.25533401	
"12639"	"27319"	1.02930197	"11995"	1.05316065	"21699"	1.10538258	"10402"	1.44762254	"4644"	1.48909854	
"18534"	"11995"	1.07423849	"18639"	1.12526071	"27319"	1.23143050	"14292"	1.46864674	"18995"	1.47914906	
"7029"	"18995"	0.68812395	"23902"	1.12565513	"3350"	1.16268695	"21617"	1.17984310	"28787"	1.23000599	
"14412"	"17193"	0.99180509	"5685"	1.37748458	"10804"	1.38210669	"4514"	1.68854981	"3963"	1.71151757	
"7064"	"18995"	0.66400716	"7029"	0.74511398	"23902"	0.78816633	"21617"	0.86137203	"28787"	0.93414557	
"16276"	"3601"	0.61168456	"23074"	0.67238822	"7029"	0.87374562	"19906"	1.12407242	"7064"	1.17340917	
"11467"	"3350"	0.80428761	"23902"	1.15053241	"11986"	1.18635537	"4146"	1.27641995	"22544"	1.29346354	
"21059"	"26474"	0.86658925	"17951"	0.92416561	"3039"	0.97247410	"29352"	0.97656822	"26324"	1.06805603	
"12140"	"21207"	0.37598895	"17702"	0.63327397	"13124"	0.67900425	"23053"	0.69947698	"24514"	0.71034518	
"11516"	"28908"	0.75917855	"801"	0.84308426	"23053"	0.87648757	"20842"	1.00658624	"15442"	1.13901309	
"17290"	"19906"	0.52181970	"11428"	0.86408798	"4617"	0.92471107	"21617"	1.26341962	"3601"	1.26899550	
"23984"	"30955"	0.39156085	"23382"	0.68448289	"340"	0.97768821	"19756"	1.29150877	"23053"	1.30840807	
"7163"	"340"	1.27608139	"23984"	1.48453883	"801"	1.62416730	"23382"	1.66524761	"19756"	1.74702888	
"13371"	"11467"	1.55786766	"11995"	1.67149443	"18534"	1.79188678	"27319"	1.91430242	"21699"	1.91654089	
"8607"	"13329"	1.02701778	"20842"	1.02923015	"801"	1.09931851	"26474"	1.11794322	"17951"	1.16377791	
"20406"	"2486"	0.14158643	"15151"	0.21624809	"25668"	0.22414437	"24514"	0.27064384	"7578"	0.32896188	
"5955"	"21019"	0.37794610	"15860"	0.69673314	"8917"	0.75695628	"29001"	0.76560432	"22055"	0.82110458	
"27973"	"21396"	0.45331785	"1491"	0.52150589	"19477"	0.53466274	"16125"	0.66089676	"31329"	0.71157435	
"24180"	"12572"	0.78434814	"15674"	0.86292462	"4958"	0.90629711	"13454"	0.94376380	"7914"	1.03630043	
"21644"	"3350"	0.63140972	"23902"	0.70396693	"2953"	0.94024831	"22544"	0.97537909	"7029"	1.08195589	
"20016"	"15541"	1.70000798	"7129"	2.00368949	"4774"	2.00450272	"16605"	2.17468040	"21059"	2.29095788	
"12055"	"11986"	0.89564650	"7029"	1.00689952	"18995"	1.06910145	"22544"	1.11277821	"7064"	1.21144155	
"17159"	"18995"	0.83050215	"28787"	0.85823487	"7064"	0.91032916	"12171"	1.17248325	"7029"	1.18102129	
"28325"	"29679"	0.28192184	"13276"	0.29812699	"10349"	0.33339967	"28898"	0.37487711	"6094"	0.47521901	
"18839"	"15151"	0.06959610	"2486"	0.10343474	"24514"	0.11813297	"20406"	0.15251086	"25668"	0.23489881	
"27193"	"25973"	0.49649070	"31925"	0.61402859	"23902"	0.68497345	"3350"	0.86830320	"21644"	0.95630573	
"10118"	"2953"	1.05552723	"22055"	1.06823285	"8917"	1.12360693	"12171"	1.13283797	"17159"	1.21125730	
"22934"	"17822"	0.15341746	"18235"	0.22159985	"7494"	0.63152796	"28947"	0.90695497	"7533"	0.90952496	
"8581"	"5955"	0.84647472	"21019"	1.22442082	"15860"	1.40987454	"8917"	1.51586675	"29001"	1.52451479	
"19244"	"26398"	0.93685974	"12572"	1.05302513	"4958"	1.06405032	"8917"	1.24248302	"23902"	1.25867418	
"15583"	"5955"	0.48205259	"5961"	0.51391650	"21019"	0.69561513	"8917"	0.80201938	"12171"	0.83157742	
"32378"	"27973"	0.49128583	"1491"	0.69472475	"31146"	0.78140843	"19477"	0.78444184	"21396"	0.78980203	
"18279"	"16125"	0.42688848	"10106"	0.59485151	"19477"	0.62643240	"31987"	0.64326579	"1491"	0.64478024	
"29563"	"2486"	0.31634438	"30752"	0.38372071	"18839"	0.41977912	"20406"	0.43053356	"7965"	0.43724750	
"29196"	"12639"	1.05511953	"7039"	1.24751577	"11995"	1.57498311	"15583"	1.59168952	"10402"	1.60202182	
"8876"	"7029"	0.25129230	"7064"	0.54861619	"18995"	0.78557010	"21644"	0.83066359	"16276"	0.86902866	
"10407"	"19477"	0.32459693	"11154"	0.34295440	"1491"	0.49636943	"27973"	0.54938219	"18279"	0.57580807	
"31905"	"32352"	0.50146187	"7751"	0.88187761	"3341"	0.89240819	"10106"	0.89586416	"4244"	1.01912110	
"20068"	"26324"	0.46397856	"12479"	0.61646348	"18235"	0.93856254	"7494"	1.00341927	"22934"	1.04349330	
"30339"	"21825"	1.48771343	"18235"	1.72210817	"25875"	1.85133284	"7494"	1.85256294	"17822"	1.86424835	
"15100"	"7494"	0.62587063	"17951"	0.76250125	"17822"	0.91974853	"25875"	0.95307221	"26474"	0.96218209	
"13168"	"21335"	0.65727963	"10672"	0.67354868	"15154"	0.82269056	"31769"	0.83361055	"29052"	0.85518445	
"21336"	"8607"	0.95697331	"4774"	1.30270083	"26474"	1.30958607	"7151"	1.31566579	"801"	1.40051193	
"4931"	"4514"	0.89579159	"14376"	1.04896152	"13565"	1.16236702	"20444"	1.19300589	"10804"	1.20223470	
"18540"	"30619"	0.47645490	"29001"	0.57325826	"13454"	0.62620355	"8917"	0.71845637	"12171"	0.72965466	
"7726"	"20842"	0.31988155	"10106"	0.66553860	"801"	0.85542661	"28908"	0.87779386	"19330"	0.93399380	
"31142"	"18534"	1.57560710	"27319"	1.96601196	"11995"	2.20881995	"18639"	2.21419761	"10402"	2.23873528	
"19460"	"10106"	0.67726360	"9364"	0.82337614	"16125"	0.87345261	"19330"	0.92935635	"7987"	0.93073340	
"16666"	"16125"	0.45658750	"31987"	0.55843991	"28947"	0.58799179	"1491"	0.62591035	"18279"	0.64055361	
"13027"	"23730"	1.14285038	"2953"	1.24222469	"11986"	1.44485724	"3350"	1.47500082	"23902"	1.50448442	
"28482"	"10106"	0.38429088	"30352"	0.58339271	"24486"	0.61032187	"22379"	0.63188267	"19330"	0.63638362	
"11781"	"13124"	0.65549835	"26474"	0.80232931	"18235"	0.91255016	"21059"	0.95896308	"21825"	0.97853669	
"9326"	"25875"	0.95489946	"18235"	0.98006600	"15442"	0.98620444	"21825"	0.98658338	"14248"	1.03190714	
"5521"	"12639"	0.77211814	"21699"	0.81222474	"11995"	0.91895749	"27319"	1.07614950	"7039"	1.16745996	
"5571"	"24514"	0.32005275	"15151"	0.34784878	"20406"	0.40835029	"18839"	0.41744488	"2486"	0.42348984	
"15595"	"8648"	0.44724000	"4603"	0.71969794	"11995"	0.95064961	"27319"	1.10784163	"14292"	1.27969041	
"8184"	"16125"	0.42218380	"27973"	0.51195307	"19477"	0.53113647	"18279"	0.53196083	"32378"	0.55183860	
"6996"	"24180"	0.66543307	"12572"	0.74355412	"5961"	0.77734235	"8917"	0.79602570	"12171"	0.81416070	
"21815"	"7726"	0.71452304	"16125"	0.85775014	"20842"	0.91195562	"18279"	1.03945797	"31905"	1.04718420	
"1542"	"21"	0.87121600	"28947"	0.93364715	"29286"	1.11135672	"11154"	1.14106317	"19460"	1.19621951	
"22670"	"3963"	1.55002216	"19756"	1.67180310	"9364"	1.69809419	"31062"	1.73076236	"19330"	1.76823173	
"11382"	"11781"	0.28483502	"17951"	0.73580125	"26474"	0.87365867	"17822"	0.90232314	"20084"	0.91925829	
"13227"	"8876"	1.25712364	"7064"	1.43545283	"7029"	1.48101868	"4146"	1.67315171	"21644"	1.73768293	
"26553"	"11995"	0.78414216	"27319"	0.94133418	"21699"	0.95378687	"15595"	1.03170174	"12639"	1.05374118	
"29718"	"12140"	0.89978975	"13124"	0.90532462	"7987"	1.04559268	"20084"	1.05551753	"21207"	1.11477733	
"9138"	"16125"	0.58280291	"16666"	0.65582877	"21396"	0.68859647	"18279"	0.69783638	"8184"	0.85114056	
"31083"	"16125"	0.45400179	"31987"	0.56079006	"7533"	0.63243830	"18279"	0.65390429	"9364"	0.75587474	
"23556"	"29052"	0.26856974	"14376"	0.52943614	"21335"	0.53954826	"10672"	0.57271560	"4514"	0.57338290	
"22196"	"28908"	0.40646256	"801"	0.42950009	"11516"	0.47480866	"20842"	0.61396936	"7726"	0.62517746	
"1709"	"31062"	0.97542770	"22670"	1.34307904	"17193"	1.58202780	"10349"	1.75711951	"7751"	1.87115525	
"12780"	"16125"	0.76906226	"30981"	0.82199233	"31987"	0.93752948	"340"	0.95955695	"9364"	0.99928083	
"15452"	"5955"	0.25092764	"21019"	0.33115684	"15583"	0.36445828	"5961"	0.67793903	"22055"	0.74691807	
"18116"	"26648"	0.96897640	"11781"	0.98140413	"11382"	1.08717891	"4774"	1.20224608	"21825"	1.22818278	
